Aldan
Allegheny
Amazon
Amu
Amur
Anadyr
Angara
Apurímac
Araguaia
Aras
Argun
Arkansas
Aruwimi
Athabasca
Ayeyarwady
Barcoo
Belaya
Beni
Benue
Bermejo
Brahmaputra
Brazos
Breg
Caine
Canadian
Cauca
Chambeshi
Chang
Chenab
Chindwin
Chu
Chulym
Churchill
Cimarron
Colorado
Columbia
Congo
Cooper
Cumberland
Danube
Darling
Darya
Daugava
Desna
Dios
Dnieper
Dniester
Don
Donau
Donets
Draa
Duna
Dunaj
Dunăre
Dunare
Dunav
Dvina
Elbe
Essequibo
Euphrates
Finlay
Fly
Francisco
Fraser
Gambia
Ganga
Ganges
Georgina
Ghaghara
Gila
Godavari
Grande
Green
Guapay
Guaporé
Guapore
Guaviare
Han
Heilong
Helmand
Hooghly
Huai
Huallaga
Huang
Içá
Ica
Iguaçu
Iguacu
Ili
Indigirka
Indus
Iriri
Irrawaddy
Irtysh
Ishim
Itenez
James
Japurá
Japura
Jefferson
Jialing
Jubba
Juruá
Jurua
Juruena
Kaa-Hem
Kagera
Kama
Kapuas
Kasai
Katun
Khatanga
Khoper
Kizil
Kolyma
Krishna
Kura
Kuskokwim
Kwango
Lakes
Lancang
Lawrence
Lena
Lerma
Liao
Liard
Limpopo
Loire
Lomami
Long
Mackenzie
Madeira
Magdalena
Mamoré
Mamore
Marañón
Maranon
Mekong
Milk
Mississippi
Missouri
Mtkvari
Murray
Murrumbidgee
Narmada
Naryn
Negro
Nelson
Nen
Niger
Nile
Nonni
Nu
Ob
Oder
Ohio
Oka
Okavango
Olenyok
Olyokma
Orange
Orinoco
Ottawa
Padma
Panj
Paraguay
Paraíba
Paraiba
Paraná
Parana
Peace
Pearl
Pechora
Pecos
Pilcomayo
Plata
Platte
Purús
Purus
Putumayo
Red
Red
Rhine
Rocha
Salado
Salween
Sankuru
Santiago
Saskatchewan
Selenge
Senegal
Sepik
Shatt
Shebelle
Shire
Slave
Snake
Songhua
Sukhona
Sutlej
Tagus
Tajo
Tapajós
Tapajos
Tarim
Tejo
Tennessee
Tietê
Tiete
Tigris
Tobol
Tocantins
Tsangpo
Tunguska
Ubangi
Ucayali
Uele
Ural
Uruguay
Vaal
Vilyuy
Vistula
Vitim
Vltava
Volga
Volta
Vyatka
Vychegda
Warburton
Warta
White
Wu
Xingu
Yalong
Yamuna
Yangtze
Yapurá
Yapura
Yellow
Yellowstone
Yenisei
Yili
Yukon
Zaïre
Zaire
Zambesi
Zambezi
Zeya
Zhu
